iter	Logloss
425	0.03441166109
426	0.03433972298
427	0.03420990896
428	0.03412878422
429	0.03395922583
430	0.03377406217
431	0.03369459041
432	0.0335855013
433	0.033493325
434	0.03341535837
435	0.03329561075
436	0.03320143453
437	0.03312103944
438	0.03300773681
439	0.03295167661
440	0.03289412945
441	0.03272299691
442	0.03264063874
443	0.03252484025
444	0.0324392913
445	0.03233924983
446	0.0322387663
447	0.03217829297
448	0.03204889764
449	0.0319922812
450	0.0319368741
451	0.03187958657
452	0.03181428161
453	0.03166742579
454	0.03156519756
455	0.03146327084
456	0.03133188137
457	0.03117586521
458	0.03106283008
459	0.03095025012
460	0.03088851701
461	0.0308152481
462	0.03072424613
463	0.03065892267
464	0.03059723516
465	0.03044610414
466	0.03034012964
467	0.03022095735
468	0.030132459
469	0.0300783085
470	0.02996166518
471	0.02980578778
472	0.02967316767
473	0.02953559262
474	0.0294878786
475	0.02940966463
476	0.02934706474
477	0.02921119405
478	0.02915999494
479	0.02898541403
480	0.02893258727
481	0.02880783448
482	0.02874987489
483	0.02866337401
484	0.02860897786
485	0.02849715712
486	0.02841421704
487	0.02835132606
488	0.02821003344
489	0.02812535243
490	0.02808124637
491	0.0279325118
492	0.02788319156
493	0.02772950363
494	0.02760432465
495	0.02751452692
496	0.02747030835
497	0.02742720247
498	0.02736491754
499	0.02731492577
500	0.02725962891
501	0.02715147012
502	0.0270351251
503	0.02692031965
504	0.02686626127
505	0.02675685676
506	0.02670177362
507	0.02666262563
508	0.02655546304
509	0.02642532044
510	0.02632990722
511	0.02628612806
512	0.02623448079
513	0.02617888648
514	0.0261084388
515	0.02602512295
516	0.0259258036
517	0.02581753439
518	0.02576900481
519	0.02565266541
520	0.02557276078
521	0.02548339456
522	0.02536496281
523	0.02532433933
524	0.02521632313
525	0.02516715382
526	0.02512599341
527	0.02505862881
528	0.02497838137
529	0.02486372692
530	0.02481175832
531	0.02476851895
532	0.02465780879
533	0.02459201876
534	0.02454635563
535	0.02446139346
536	0.02441236458
537	0.02434772604
538	0.02431423006
539	0.02426453074
540	0.02419054742
541	0.02412495695
542	0.02408212066
543	0.02405051414
544	0.0239698709
545	0.02386392213
546	0.02377780642
547	0.02372524464
548	0.02367092897
549	0.02362636261
550	0.02352036986
551	0.02342660772
552	0.0233263039
553	0.02321445463
554	0.02316237046
555	0.02312759292
556	0.02308921112
557	0.023009696
558	0.02291178122
559	0.02282396966
560	0.02279163431
561	0.02275086069
562	0.02268688937
563	0.02259554777
564	0.02253045618
565	0.02247035159
566	0.02240832657
567	0.02234122303
568	0.02223513714
569	0.02214850687
570	0.02206912383
571	0.02197901491
572	0.02187995118
573	0.0217808745
574	0.02174137862
575	0.02170664769
576	0.02162009925
577	0.02154957541
578	0.02146443685
579	0.0213869466
580	0.02135794906
581	0.02132795506
582	0.02130350957
583	0.0212368307
584	0.02118060338
585	0.02109622597
586	0.02101466917
587	0.02094228654
588	0.02091238249
589	0.02081098544
590	0.02075086314
591	0.02070287772
592	0.02063255887
593	0.02055305714
594	0.0204994703
595	0.02041987373
596	0.02036270118
597	0.02028426574
598	0.02021977865
599	0.02014789115
600	0.02010559876
601	0.02002740847
602	0.01998632841
603	0.01991658141
604	0.01984612894
605	0.01981954914
606	0.01977495395
607	0.01972385875
608	0.01967665641
609	0.01961145606
610	0.01952655089
611	0.01945892656
612	0.01939709222
613	0.01936990609
614	0.01933178502
615	0.01926018367
616	0.01923201186
617	0.01916801407
618	0.01910159143
619	0.01904571326
620	0.01898237016
621	0.01894061687
622	0.01887531424
623	0.01883120738
624	0.01877043399
625	0.01870965833
626	0.01867191284
627	0.01862829887
628	0.01860429609
629	0.01858145707
630	0.01851644056
631	0.01845070318
632	0.01839004232
633	0.01832160135
634	0.01825372645
635	0.01819094
636	0.01812701042
637	0.01806903982
638	0.01800792614
639	0.0179494612
640	0.01788553065
641	0.017834173
642	0.01777304914
643	0.01770398952
644	0.01764278653
645	0.01758107752
646	0.0175588097
647	0.01750474604
648	0.01744143038
649	0.01738855296
650	0.01733374785
651	0.01727780089
652	0.01722368911
653	0.01715014844
654	0.01712639629
655	0.01707382158
656	0.01702434652
657	0.01696026489
658	0.01693715245
659	0.01688953216
660	0.01686968052
661	0.01682128866
662	0.01677163393
663	0.01671625068
664	0.01665575045
665	0.01661574992
666	0.01656426071
667	0.01651915332
668	0.01646653349
669	0.01641973169
670	0.01636480507
671	0.0163163789
672	0.01626075883
673	0.01622911594
674	0.01619132834
675	0.01613734777
676	0.0160835866
677	0.01603288932
678	0.01598710476
679	0.01593940271
680	0.0158939512
681	0.01585344331
682	0.01580162621
683	0.0157557252
684	0.01571051073
685	0.01565747943
686	0.0156169658
687	0.01557299203
688	0.0155336618
689	0.01548604817
690	0.01543603823
691	0.0153837001
692	0.01533335592
693	0.01528851408
694	0.01525155745
695	0.0152006875
696	0.01517270736
697	0.01513033271
698	0.01508635502
699	0.01503953626
700	0.01499341629
701	0.01496580358
702	0.01492087852
703	0.01489253646
704	0.01485319035
705	0.01481093435
706	0.01477173486
707	0.01472824027
708	0.01468743457
709	0.01464719483
710	0.01460240642
711	0.01456548854
712	0.01452417569
713	0.0144859064
714	0.01444720222
715	0.01440555975
716	0.01436267053
717	0.01432522042
718	0.01429465262
719	0.01425305494
720	0.01421097729
721	0.01418094753
722	0.0141445194
723	0.01410489247
724	0.014064873
725	0.01402418182
726	0.01398498583
727	0.01394556917
728	0.01391010829
729	0.01387169171
730	0.01384006093
731	0.01380097962
732	0.01376319442
733	0.01372733058
734	0.01369243842
735	0.01365927466
736	0.01362670623
737	0.01358922235
738	0.01354997093
739	0.01351896993
740	0.01349551485
741	0.01346723147
742	0.01342482761
743	0.01339128062
744	0.01335866967
745	0.01332468294
746	0.01328958813
747	0.01325975683
748	0.01322573701
749	0.01319311241
750	0.01316166807
751	0.01312932285
752	0.01309645766
753	0.01306205695
754	0.01303096691
755	0.01300862181
756	0.01298548851
757	0.01295010849
758	0.01291929763
759	0.01288962146
760	0.01285044198
761	0.01281959195
762	0.01279999852
763	0.01277254267
764	0.01274278961
765	0.01270961819
766	0.01268038357
767	0.01265109334
768	0.01262180888
769	0.01259151933
770	0.01256570169
771	0.012538061
772	0.01250725676
773	0.01248053393
774	0.01244466634
775	0.01242534508
776	0.01239262643
777	0.01236455009
778	0.01233547109
779	0.01230733911
780	0.01227669895
781	0.01224570521
782	0.01221797134
783	0.01218558407
784	0.01216070357
785	0.01213348012
786	0.01210695724
787	0.01207507714
788	0.01204618726
789	0.01201647866
790	0.01199103522
791	0.01196583955
792	0.01194716462
793	0.01192197564
794	0.01189104617
795	0.01186649815
796	0.01184062762
797	0.0118163185
798	0.01178648875
799	0.01176107297
800	0.01173651996
801	0.01170440808
802	0.01168167864
803	0.01165763233
804	0.01163308235
805	0.0116112062
806	0.01158646736
807	0.01156132239
808	0.01153188488
809	0.01150661377
810	0.01148401644
811	0.01146058357
812	0.01143455606
813	0.01141070339
814	0.01138203158
815	0.01135811291
816	0.01133455705
817	0.0113116571
818	0.01128740635
819	0.01126600568
820	0.01124042865
821	0.01121221781
822	0.01118448017
823	0.01115967112
824	0.01113632831
825	0.01111443063
826	0.01109366748
827	0.01106796051
828	0.01104795788
829	0.01102438906
830	0.01100165091
831	0.01098125086
832	0.01095527922
833	0.01093223554
834	0.01090947132
835	0.01088145332
836	0.01085478275
837	0.01082995032
838	0.01080841043
839	0.01078848086
840	0.0107678924
841	0.01074671023
842	0.0107221013
843	0.01069939053
844	0.01067652086
845	0.0106538965
846	0.01063467873
847	0.01061342681
848	0.01059089227
849	0.01057170103
850	0.0105503188
851	0.01052798172
852	0.01050966825
853	0.01048851739
854	0.01046807815
855	0.01044881255
856	0.01042822456
857	0.010409207
858	0.01038936717
859	0.0103675627
860	0.01034681639
861	0.0103273499
862	0.01030656338
863	0.01028780075
864	0.01026730184
865	0.01025024577
866	0.01023113428
867	0.01021172288
868	0.01019238763
869	0.01017068254
870	0.01015305086
871	0.01013406904
872	0.01011689496
873	0.01009786044
874	0.01007866987
875	0.01006186589
876	0.01004292243
877	0.01002250839
878	0.01000568396
879	0.009988043334
880	0.009970334805
881	0.00995059297
882	0.009932353494
883	0.009915817743
884	0.00989879311
885	0.009881561888
886	0.009863551746
887	0.009845267245
888	0.009829899323
889	0.009812196926
890	0.009793519297
891	0.009777679889
892	0.009759967574
893	0.009741929849
894	0.009722972455
895	0.009705539808
896	0.009688062461
897	0.009672804437
898	0.009657416506
899	0.009640375759
900	0.00962528619
901	0.009607290068
902	0.009589459376
903	0.00957249216
904	0.009557568049
905	0.009541381964
906	0.009520903921
907	0.009503573178
908	0.009488512005
909	0.009471761649
910	0.009454592077
911	0.009437539365
912	0.009422550786
913	0.009405945002
914	0.009388767352
915	0.009370076066
916	0.009352950752
917	0.009334959461
918	0.009320653512
919	0.009303950883
920	0.009289932961
921	0.009270498878
922	0.00925433647
923	0.009239364488
924	0.009223766302
925	0.009207479642
926	0.009192630003
927	0.00917361262
928	0.009156907163
929	0.009141509306
930	0.009125618136
931	0.009110280456
932	0.009096632004
933	0.009080907853
934	0.009066452734
935	0.009052869211
936	0.009036469141
937	0.00902199889
938	0.009006751578
939	0.008991931254
940	0.008978673661
941	0.008963340565
942	0.008946513508
943	0.008933158269
944	0.008920271226
945	0.008905233783
946	0.008889828708
947	0.008872012169
948	0.008857298145
949	0.008843030017
950	0.008830351727
951	0.008814841835
952	0.008802058568
953	0.008786814631
954	0.008773956443
955	0.008759048642
956	0.008744927798
957	0.008730582487
958	0.008718296752
959	0.008706348622
960	0.00869189815
961	0.008677903044
962	0.008663284051
963	0.008650554353
964	0.008636031109
965	0.008621845673
966	0.008607745914
967	0.008596111197
968	0.008584718248
969	0.008570632965
970	0.00855796868
971	0.008546040775
972	0.008534229909
973	0.008520715738
974	0.008506878555
975	0.008493131374
976	0.00847960521
977	0.008467034992
978	0.008453593316
979	0.008439350322
980	0.008425520007
981	0.008412023478
982	0.008401010567
983	0.008387791978
984	0.008375854673
985	0.008362763488
986	0.008350913978
987	0.00833756454
988	0.008326319571
989	0.008313361216
990	0.00830186367
991	0.008288190907
992	0.008274854465
993	0.008263729214
994	0.008250673648
995	0.008237458419
996	0.008224573401
997	0.008211627965
998	0.008198739329
999	0.008185893834
