iter	Passed	Remaining
330	784	1585
331	786	1581
332	788	1578
333	790	1577
334	793	1574
335	795	1571
336	797	1569
337	799	1565
338	801	1562
339	804	1560
340	806	1559
341	811	1560
342	813	1557
343	816	1557
344	818	1554
345	820	1551
346	821	1546
347	823	1543
348	825	1540
349	827	1537
350	829	1534
351	832	1531
352	834	1528
353	836	1525
354	838	1523
355	840	1520
356	842	1517
357	844	1514
358	846	1511
359	848	1509
360	851	1506
361	854	1506
362	860	1510
363	866	1513
364	870	1515
365	875	1516
366	877	1513
367	879	1510
368	881	1507
369	885	1507
370	887	1504
371	892	1506
372	896	1507
373	901	1509
374	905	1509
375	908	1507
376	910	1504
377	914	1504
378	916	1501
379	919	1500
380	923	1499
381	926	1499
382	929	1497
383	931	1494
384	933	1491
385	935	1488
386	939	1487
387	941	1484
388	943	1482
389	945	1479
390	947	1476
391	950	1473
392	951	1470
393	954	1468
394	958	1467
395	960	1464
396	962	1462
397	964	1459
398	967	1456
399	969	1453
400	972	1453
401	974	1450
402	979	1450
403	982	1448
404	983	1445
405	985	1441
406	986	1437
407	988	1434
408	990	1430
409	992	1427
410	994	1425
411	996	1422
412	998	1419
413	1001	1417
414	1002	1413
415	1005	1411
416	1008	1410
417	1010	1406
418	1011	1402
419	1013	1399
420	1015	1396
421	1016	1392
422	1018	1389
423	1020	1385
424	1022	1383
425	1024	1381
426	1027	1378
427	1028	1374
428	1030	1371
429	1033	1369
430	1034	1365
431	1037	1364
432	1041	1363
433	1045	1363
434	1048	1362
435	1052	1361
436	1053	1357
437	1055	1353
438	1058	1352
439	1062	1351
440	1064	1349
441	1066	1346
442	1069	1344
443	1072	1342
444	1073	1339
445	1075	1335
446	1077	1332
447	1080	1331
448	1084	1330
449	1085	1327
450	1089	1326
451	1092	1324
452	1095	1322
453	1096	1318
454	1099	1317
455	1102	1315
456	1105	1313
457	1107	1310
458	1111	1309
459	1114	1308
460	1117	1307
461	1121	1305
462	1124	1304
463	1127	1302
464	1130	1300
465	1133	1299
466	1138	1299
467	1141	1297
468	1146	1298
469	1151	1298
470	1153	1295
471	1155	1292
472	1159	1292
473	1162	1289
474	1164	1286
475	1168	1286
476	1172	1285
477	1175	1283
478	1179	1282
479	1182	1281
480	1184	1278
481	1186	1275
482	1188	1272
483	1192	1270
484	1194	1268
485	1198	1268
486	1202	1266
487	1205	1264
488	1209	1263
489	1212	1261
490	1214	1259
491	1218	1258
492	1220	1255
493	1222	1252
494	1224	1249
495	1225	1245
496	1229	1244
497	1231	1241
498	1233	1238
499	1238	1238
500	1240	1235
501	1243	1233
502	1247	1232
503	1250	1230
504	1252	1227
505	1255	1226
506	1258	1223
507	1262	1222
508	1264	1219
509	1268	1218
510	1270	1215
511	1272	1212
512	1275	1210
513	1276	1207
514	1278	1203
515	1279	1200
516	1282	1198
517	1284	1195
518	1287	1193
519	1291	1191
520	1293	1189
521	1296	1186
522	1298	1184
523	1301	1182
524	1303	1179
525	1304	1175
526	1306	1172
527	1307	1168
528	1309	1165
529	1310	1162
530	1315	1161
531	1317	1159
532	1322	1158
533	1324	1155
534	1327	1154
535	1331	1152
536	1335	1151
537	1339	1150
538	1343	1149
539	1346	1146
540	1349	1144
541	1353	1143
542	1356	1141
543	1359	1139
544	1361	1136
545	1363	1133
546	1366	1131
547	1368	1128
548	1373	1128
549	1378	1127
550	1382	1126
551	1384	1123
552	1387	1121
553	1390	1119
554	1393	1117
555	1396	1114
556	1399	1113
557	1402	1111
558	1406	1109
559	1409	1107
560	1412	1105
561	1413	1101
562	1415	1098
563	1419	1097
564	1421	1094
565	1423	1091
566	1425	1088
567	1427	1085
568	1429	1083
569	1431	1080
570	1434	1078
571	1444	1080
572	1446	1077
573	1449	1075
574	1451	1073
575	1454	1070
576	1455	1066
577	1456	1063
578	1459	1061
579	1462	1058
580	1465	1057
581	1467	1053
582	1469	1050
583	1470	1047
584	1472	1044
585	1474	1041
586	1475	1038
587	1477	1035
588	1478	1031
589	1479	1028
590	1481	1025
591	1482	1022
592	1484	1018
593	1486	1015
594	1488	1013
595	1490	1010
596	1492	1007
597	1493	1003
598	1495	1000
599	1496	997
600	1498	994
601	1499	991
602	1501	988
603	1503	985
604	1504	982
605	1506	979
606	1507	976
607	1509	973
608	1511	970
609	1513	967
610	1514	964
611	1516	961
612	1518	958
613	1519	955
614	1520	952
615	1522	949
616	1523	945
617	1529	945
618	1530	942
619	1532	939
620	1533	936
621	1535	933
622	1537	930
623	1539	927
624	1540	924
625	1541	921
626	1543	917
627	1545	915
628	1547	912
629	1548	909
630	1550	906
631	1552	903
632	1553	900
633	1555	897
634	1556	894
635	1558	892
636	1560	889
637	1562	886
638	1563	883
639	1565	880
640	1567	878
641	1569	875
642	1570	872
643	1572	869
644	1574	866
645	1575	863
646	1577	860
647	1579	857
648	1581	855
649	1583	852
650	1586	850
651	1589	848
652	1590	845
653	1593	842
654	1596	840
655	1598	838
656	1602	836
657	1604	833
658	1605	830
659	1607	828
660	1608	825
661	1610	822
662	1612	819
663	1613	816
664	1615	813
665	1616	810
666	1618	807
667	1620	805
668	1623	803
669	1625	800
670	1626	797
671	1628	794
672	1630	792
673	1631	789
674	1633	786
675	1635	783
676	1636	780
677	1638	778
678	1640	775
679	1642	773
680	1644	770
681	1646	767
682	1647	764
683	1649	762
684	1651	759
685	1653	756
686	1655	754
687	1657	751
688	1658	748
689	1661	746
690	1665	744
691	1667	742
692	1669	739
693	1672	737
694	1675	735
695	1677	732
696	1682	731
697	1684	728
698	1685	725
699	1687	723
700	1688	720
701	1690	717
702	1692	714
703	1693	712
704	1695	709
705	1697	706
706	1700	704
707	1703	702
708	1705	699
709	1706	697
710	1709	694
711	1710	691
712	1712	689
713	1713	686
714	1715	683
715	1717	681
716	1719	678
717	1722	676
718	1724	674
719	1726	671
720	1727	668
721	1729	665
722	1731	663
723	1732	660
724	1734	657
725	1736	655
726	1738	652
727	1740	650
728	1743	647
729	1744	645
730	1746	642
731	1748	640
732	1750	637
733	1752	635
734	1754	632
735	1757	630
736	1759	628
737	1761	625
738	1764	623
739	1765	620
740	1767	617
741	1769	615
742	1770	612
743	1772	609
744	1773	607
745	1775	604
746	1779	602
747	1781	600
748	1783	597
749	1785	595
750	1786	592
751	1788	589
752	1790	587
753	1791	584
754	1793	581
755	1795	579
756	1797	576
757	1799	574
758	1801	571
759	1802	569
760	1804	566
761	1805	564
762	1807	561
763	1808	558
764	1811	556
765	1812	553
766	1815	551
767	1818	549
768	1819	546
769	1821	543
770	1822	541
771	1825	539
772	1826	536
773	1829	534
774	1833	532
775	1834	529
776	1838	527
777	1840	525
778	1843	523
779	1845	520
780	1847	517
781	1849	515
782	1852	513
783	1856	511
784	1859	509
785	1860	506
786	1862	504
787	1864	501
788	1866	499
789	1867	496
790	1869	493
791	1871	491
792	1874	489
793	1875	486
794	1877	484
795	1879	481
796	1880	479
797	1882	476
798	1884	473
799	1885	471
800	1887	468
801	1888	466
802	1890	463
803	1903	464
804	1907	461
805	1908	459
806	1910	456
807	1912	454
808	1914	452
809	1916	449
810	1918	447
811	1920	444
812	1921	442
813	1923	439
814	1924	436
815	1926	434
816	1928	431
817	1929	429
818	1932	427
819	1935	424
820	1937	422
821	1938	419
822	1941	417
823	1942	414
824	1944	412
825	1946	409
826	1947	407
827	1950	405
828	1951	402
829	1953	400
830	1955	397
831	1956	395
832	1958	392
833	1959	390
834	1961	387
835	1963	385
836	1964	382
837	1966	380
838	1968	377
839	1971	375
840	1973	373
841	1975	370
842	1976	368
843	1978	365
844	1980	363
845	1981	360
846	1983	358
847	1985	355
848	1987	353
849	1989	351
850	1991	348
851	1992	346
852	1995	343
853	1996	341
854	1997	338
855	1999	336
856	2001	333
857	2002	331
858	2004	329
859	2005	326
860	2009	324
861	2010	321
862	2012	319
863	2014	317
864	2015	314
865	2017	312
866	2018	309
867	2020	307
868	2021	304
869	2023	302
870	2025	299
871	2026	297
872	2028	295
873	2029	292
874	2031	290
875	2032	287
876	2034	285
877	2035	282
878	2037	280
879	2038	278
880	2040	275
881	2041	273
882	2043	270
883	2045	268
884	2046	265
885	2048	263
886	2049	261
887	2051	258
888	2053	256
889	2054	253
890	2055	251
891	2057	249
892	2058	246
893	2060	244
894	2062	241
895	2064	239
896	2066	237
897	2067	234
898	2069	232
899	2071	230
900	2072	227
901	2074	225
902	2075	222
903	2077	220
904	2078	218
905	2081	215
906	2082	213
907	2083	211
908	2085	208
909	2087	206
910	2089	204
911	2090	201
912	2092	199
913	2094	197
914	2095	194
915	2097	192
916	2099	190
917	2101	187
918	2102	185
919	2103	182
920	2105	180
921	2109	178
922	2110	176
923	2112	173
924	2113	171
925	2115	169
926	2116	166
927	2118	164
928	2120	162
929	2121	159
930	2123	157
931	2124	155
932	2126	152
933	2131	150
934	2133	148
935	2134	145
936	2136	143
937	2137	141
938	2139	139
939	2141	136
940	2143	134
941	2144	132
942	2146	129
943	2148	127
944	2149	125
945	2151	122
946	2152	120
947	2154	118
948	2162	116
949	2163	113
950	2165	111
951	2166	109
952	2167	106
953	2169	104
954	2170	102
955	2172	99
956	2174	97
957	2177	95
958	2178	93
959	2180	90
960	2182	88
961	2183	86
962	2185	83
963	2186	81
964	2188	79
965	2190	77
966	2192	74
967	2193	72
968	2195	70
969	2197	67
970	2199	65
971	2200	63
972	2202	61
973	2204	58
974	2205	56
975	2207	54
976	2209	52
977	2210	49
978	2212	47
979	2213	45
980	2215	42
981	2217	40
982	2219	38
983	2220	36
984	2222	33
985	2224	31
986	2226	29
987	2227	27
988	2229	24
989	2231	22
990	2232	20
991	2234	18
992	2235	15
993	2237	13
994	2238	11
995	2240	8
996	2241	6
997	2243	4
998	2245	2
999	2247	0
